Athlete,Low,High,Mean,LRC readers
Aselefech Mergia,40000.00,75000.00,63333.00,10000.00
Deena Kastor,10000.00,25000.00,17500.00,10000.00
Edna Kiplagat (reigning champ),75000.00,150000.00,116667.00,20000.00
Buzunesh Deba,20000.00,30000.00,23333.00,15000.00
Jordan Hasay,50000.00,125000.00,91667.00,35000.00
Shalane Flanagan,150000.00,250000.00,200000.00,50000.00
Mamitu Daska,40000.00,50000.00,45000.00,10000.00
Des Linden,30000.00,100000.00,68333.00,20000.00
Des Linden (2019),125000.00,200000.00,158333.00,50000.00
Madai Perez,10000.00,25000.00,20000.00,5000.00
Caroline Rotich,20000.00,25000.00,21667.00,5000.00
Gladys Chesir,15000.00,20000.00,18333.00,5000.00
Serena Burla,10000.00,30000.00,16667.00,5000.00
Molly Huddle,40000.00,100000.00,80000.00,25000.00
Krista DuChene,0.00,5000.00,1667.00,2000.00
Kellyn Taylor,5000.00,15000.00,10000.00,5000.00
Kellys Arias,0.00,5000.00,3333.00,1500.00
Jessica Draskau Petersson,0.00,5000.00,3333.00,1000.00